Deletion	CorrCoefficient	Pvalue	Pvalue.FDR
hmo1	0.657908506320678	2.41312745564917e-292	1.77847493481344e-289
nup120	0.654344272960792	3.84466476584714e-288	1.88901195495289e-285
bud22	0.639935952351712	7.77739237539514e-272	2.86596909033311e-269
bim1	0.633155391628825	2.09116504855854e-264	6.16475456315058e-262
ctf19	0.628034292049741	6.45091018085073e-259	1.58477360109566e-256
rrp8	0.625180327052052	6.67280734358381e-256	1.40510257492036e-253
ctf18	0.620717224246291	2.99442229269329e-251	5.51722307428739e-249
dcc1	0.616448788790465	7.16973306518719e-247	1.17424294867621e-244
chl1	0.612362305113778	9.66735912537494e-243	1.42496873508027e-240
efg1	0.606786592146061	3.33712203566834e-237	4.47174352779558e-235
rpa12	0.603527136083496	5.1304034606745e-234	6.30184558419518e-232
mft1	0.583562073568942	2.81660435509364e-215	3.19359601492925e-213
sac3	0.57277429457299	1.10880933882102e-205	1.16741783244442e-203
rps21a	0.571760848181145	1.03292968061328e-204	1.01502556614932e-202
esc2	0.570449196308329	1.16540281980845e-203	1.07362734774853e-201
ltv1	0.564893956753857	6.78767638021883e-199	5.88531469673091e-197
nup188	0.5644534608014	1.94580141320361e-198	1.59339515725673e-196
uaf30	0.56168069875898	4.25894174280799e-196	3.30404217310473e-194
thp1	0.558991745901133	6.25526124087457e-194	4.61012753452456e-192
sfp1	0.557919110000059	4.8727940918481e-193	3.42023737684957e-191
rad52	0.55376461054839	1.54839657429446e-189	1.03742570477729e-187
rps0b	0.553110905896083	4.40959783411352e-189	2.82597704673188e-187
rmi1	0.55100937305836	2.70514994894777e-187	1.66141292697876e-185
bud21	0.540902248316124	2.5443887194966e-179	1.5001715890152e-177
rad18	0.540873909709311	3.18433015252601e-179	1.80527024800898e-177
cin8	0.528072894804406	2.04218414851402e-169	1.11488127218876e-167
ubp3	0.525981769328547	6.33938242138249e-168	3.33723203182778e-166
tsr2	0.525728130326638	9.79238676208643e-168	4.97723382321221e-166
ctf4	0.522523588704382	2.70604920073143e-165	1.32957217395938e-163
mcm21	0.521842438915708	7.31042488389841e-165	3.47598912221492e-163
thp2	0.521311607569564	1.79284895860161e-164	8.25831051555867e-163
kap120	0.519554074664351	3.45583303860895e-163	1.543605423912e-161
not4	0.515088426560954	5.88627755416697e-160	2.5518744455418e-158
nup60	0.512330762196619	5.51225745914515e-158	2.32144785565141e-156
est3	0.509759444121448	4.25370049348946e-156	1.74165403538985e-154
pih1	0.509291055969162	9.09583869018573e-156	3.6235854673875e-154
sgs1	0.5081430502734	5.02021510811929e-155	1.94731501825469e-153
ctf8	0.503494112551763	8.67076933464158e-152	3.27710615365684e-150
wss1	0.497903390822693	5.82708109859147e-148	2.14727938483096e-146
tom1	0.497320180921673	1.4475398165016e-147	5.20408216956917e-146
