Condition	HyperGpval	HyperGpvalFDR
rrp8	1.33001153678153e-90	1.96309702828954e-87
efg1	1.21385849310364e-73	8.95827567910484e-71
rpa12	1.2133861091047e-47	5.96985965679511e-45
ybp2	2.1028479624355e-33	7.75950898138699e-31
ies3	3.33709340447783e-32	9.85109973001856e-30
bud21	1.67758138478939e-31	4.12685020658189e-29
new1	4.12932580220489e-31	8.70697840579203e-29
bud22	5.97610002056955e-27	1.10259045379508e-24
pih1	3.91932637865046e-23	6.42769526098676e-21
bim1	2.07576410084394e-22	3.06382781284566e-20
hmo1	1.44881103513865e-21	1.94404098896786e-19
chl1	1.76449586514907e-21	2.17032991413336e-19
nup188	4.0605307837499e-20	4.61026418216527e-18
nup120	1.6780950196527e-19	1.76919160643385e-17
ssf1	2.05661338914101e-19	2.02370757491475e-17
esc2	8.38159548722262e-19	7.73202183696287e-17
cgi121	1.836974993647e-18	1.59492652389587e-16
est1	1.21894455074595e-17	9.99534531611681e-16
cdh1	2.16370773874067e-17	1.68085927493749e-15
rmi1	3.20668009379533e-16	2.36652990922096e-14
nop6	5.95668723676696e-16	4.18670017212763e-14
uaf30	9.92260145300068e-16	6.65716352028591e-14
rps21a	1.21190663175371e-15	7.77727908029769e-14
cin8	4.39985962621115e-15	2.70591367011986e-13
cdc26	7.96270381878778e-15	4.7011803346123e-13
rts1	3.00215053256914e-14	1.70429776387386e-12
nfi1	3.76004747977213e-14	2.05549262227543e-12
ltv1	5.20193858171284e-14	2.74216476664577e-12
mft1	1.82869670840808e-13	9.30743566072528e-12
dcc1	5.59481553590422e-13	2.75264924366487e-11
rad18	1.4606959473219e-12	6.95479747821651e-11
slx9	5.8124951881643e-12	2.68101340554079e-10
tma23	6.80069463736465e-11	3.0417652378031e-09
ctf19	8.79170827457556e-11	3.81663570978633e-09
rtt107	1.77855214503799e-10	7.50040847450309e-09
jnm1	2.61171513718382e-10	1.07080320624537e-08
dbp3	2.93561161359931e-10	1.17107101126286e-08
gpa2	1.15204585232053e-08	4.47478862638184e-07
ctf18	2.98950079838079e-08	1.13141107138719e-06
ela1	3.51221973651165e-08	1.29016542167392e-06
rsa3	3.58379283798312e-08	1.29016542167392e-06
yku70	3.9953001438575e-08	1.40406262198421e-06
arx1	1.0397836301992e-07	3.54978378359628e-06
pmd1	1.05820112790133e-07	3.54978378359628e-06
esc1	1.6234470458511e-07	5.32490631039162e-06
kap120	2.24208774893315e-07	7.19417721179418e-06
nap1	2.9201572055472e-07	9.17053624550569e-06
mnd2	3.32518972547828e-07	1.02249584058457e-05
thp2	5.73443328114834e-07	1.72735173938264e-05
top3	1.13713861836293e-06	3.35683320140736e-05
swm1	1.83325768455501e-06	5.30566341647685e-05
mcm21	1.96288304418129e-06	5.5715680254069e-05
ctf8	2.1723005701514e-06	6.04965215385559e-05
gat2	2.8858154503799e-06	7.88789556437172e-05
mvb12	3.32378045569782e-06	8.91981809565452e-05
mrc1	4.64986708948242e-06	0.000122557211144215
tom1	5.13931677003302e-06	0.000133081255308224
yku80	5.3726673685543e-06	0.000136725121310106
dun1	5.85164112681025e-06	0.000146390208528338
nop12	6.68888738759673e-06	0.00016454662973488
pol32	8.85331449772062e-06	0.000214221183584191
bud20	9.58460604238272e-06	0.000228175459976724
mlp2	1.67703624362383e-05	0.00039290563422044
uba3	2.33742516236699e-05	0.000539068678070887
rad57	3.2795775659859e-05	0.000744716382676183
dbr1	3.4439800478102e-05	0.000770199174328462
rad55	4.34942105533751e-05	0.000958170966817637
rad27	4.83634716133017e-05	0.00104977182501814
pib2	5.60921568365874e-05	0.00119988439841743
cln1	5.91555071826631e-05	0.00124733612288015
lrp1	9.72315128240061e-05	0.00202131990039765
pdr1	9.94726732236219e-05	0.00203918980108425
sac3	0.00011880623099139	0.00240216434168893
psh1	0.000133053811472775	0.00265388413153805
